term,jsd,count_early,count_modern,neighbours,scaled_jsd
said,0.7630081667333076,972,3028,54,1.0
and,0.5903739384250237,1181,2819,4,1.0
he,0.7097368862509337,907,3093,23,1.0
just,0.6910779645074004,307,3693,103,0.9805825242718447
people,0.6903208133903941,830,3170,96,0.96875
him,0.7105669518181598,1376,2624,60,0.9666666666666667
right,0.6888554137675604,756,3244,163,0.950920245398773
captures,0.9108329970225852,1555,2445,3590,0.9381615598885794
training,0.851740163567666,47,3953,1244,0.9381028938906752
test,0.8225294934354387,115,3885,1027,0.937682570593963
such,0.6872238907978594,1919,2081,92,0.9347826086956522
domestic violence,0.9058982025530381,93,2814,3049,0.922925549360446
work,0.6498329755273946,415,3585,164,0.9024390243902439
own,0.63368767250442,1214,2786,157,0.8980891719745223
we,0.6526721991977258,949,3051,47,0.8936170212765957
cannot,0.7745793417881168,3992,8,993,0.892245720040282
process,0.7593974134222267,224,3776,679,0.8895434462444771
affirmation,0.858247667948572,2746,1254,3761,0.8883275724541345
issue,0.7656697241373229,585,3415,909,0.8855885588558856
current,0.7669040973988736,363,3637,978,0.8844580777096115
i,0.6579387688509405,1152,2848,17,0.8823529411764706
marque,0.8970028350795051,1197,340,1902,0.8801261829652997
they,0.647023313466618,1264,2736,41,0.8780487804878049
due,0.7556961774097012,1933,2067,926,0.8779697624190065
use,0.6526167392902391,688,3312,209,0.8708133971291866
business,0.7030272092614488,1128,2872,371,0.8706199460916442
united states,0.6974229470136798,1966,2034,327,0.8685015290519877
post,0.7486194094593867,1085,2915,959,0.8654848800834203
security,0.7482316645193546,813,3187,864,0.8645833333333334
pro,0.7813412918881868,568,3432,2165,0.8618937644341801
equity,0.814504429390759,1500,2500,3321,0.8611863896416742
fix,0.7870896378159166,1982,2018,2338,0.8601368691189051
services,0.7470964914845244,645,3355,846,0.859338061465721
new york,0.7009855582766673,1103,2897,407,0.8574938574938575
care,0.7043492739043937,804,3196,433,0.8568129330254042
like,0.6116092254594894,349,3651,76,0.8552631578947368
articles,0.7688062485980883,2570,1430,1630,0.8552147239263803
them,0.6381972267631355,1673,2327,55,0.8545454545454545
control,0.7275137366581308,154,3846,642,0.8520249221183801
it,0.6489149264389584,1054,2946,20,0.85
state,0.6226107904027407,1528,2472,118,0.847457627118644
classes,0.7756793571729006,320,3680,2130,0.8464788732394366
executive,0.7565031785702551,1219,2781,1313,0.8415841584158416
eligible,0.8074613439765049,1080,2920,3588,0.8411371237458194
bill,0.7276297865594402,1574,2426,671,0.8390461997019374
article,0.7376065783271275,1396,2604,1000,0.839
power,0.653131640934309,1734,2266,266,0.8383458646616542
magazines,0.7994472626738989,846,3154,3524,0.8345629965947786
information,0.6893567450583309,713,3287,411,0.8321167883211679
same,0.615154463745668,1616,2384,153,0.8300653594771242
standard,0.7496512916974858,316,3684,1578,0.8276299112801014
party,0.7072187847991784,1155,2845,659,0.8270106221547799
class,0.7252922587999412,272,3728,751,0.8242343541944075
welfare,0.7746167899248873,1150,2850,2598,0.8237105465742879
quartered,0.8617424144669736,871,859,2116,0.8218336483931947
there,0.6357542104869827,924,3076,56,0.8214285714285714
service,0.6885104194261984,1300,2700,512,0.814453125
most,0.5996959652599482,1250,2750,97,0.8144329896907216
measures,0.7371574866835042,1765,2235,1288,0.812111801242236
or,0.6264398001682638,1581,2419,37,0.8108108108108109
compact,0.7946104160008741,1252,2748,3765,0.8106241699867198
new,0.6210838231977536,324,3676,105,0.8095238095238095
commission,0.7380031530862089,1260,2740,1679,0.8082191780821918
behavior,0.7311712644823019,456,3544,1174,0.8023850085178875
high,0.6286902202814694,530,3470,197,0.8020304568527918
respecting,0.7607831809367374,3769,231,2601,0.800076893502499
aid,0.7328761367299331,1999,2001,1450,0.8
attendance,0.7711541588704166,1808,2192,3283,0.7995735607675906
resident,0.7695002297408952,797,3203,3334,0.7948410317936413
science,0.7141523575515175,274,3726,1020,0.7931372549019607
thereof,0.7309605892036578,3894,106,1520,0.7907894736842105
tried,0.7101278332232469,459,3541,988,0.7884615384615384
respectively,0.7605356067017578,1490,2510,2844,0.7883263009845288
journal,0.7282060420169836,527,3473,1636,0.7878973105134475
provided,0.7086531830207707,1545,2455,969,0.7863777089783281
press,0.7145543880400305,446,3554,1098,0.7859744990892532
net,0.749517151378936,315,3685,2510,0.7824701195219124
arts,0.7255629190347473,639,3361,1599,0.7823639774859287
legislation,0.7552538248172183,418,3582,2795,0.7806797853309482
then,0.5938816359617344,918,3082,91,0.7802197802197802
going,0.6312294571495439,291,3709,231,0.7792207792207793
also,0.5956859196403572,657,3343,104,0.7788461538461539
subjects,0.7248290739773448,1924,2076,1523,0.7774130006565988
government,0.631703811762968,1562,2438,247,0.7773279352226721
securities,0.7678174196362509,1121,2879,3602,0.7759578012215436
title,0.7237577580225975,1212,2788,1755,0.7754985754985755
tonnage,0.7994519037885152,3371,265,3396,0.7747349823321554
junction,0.7992984040788221,1471,2076,3368,0.7743467933491687
according,0.6696646558506608,1161,2839,495,0.7737373737373737
offense,0.7462337672477436,1852,2148,2525,0.7730693069306931
term,0.7021043771217185,714,3286,949,0.7723919915700738
disability,0.7674826548162688,301,3699,3617,0.7721868952170307
safety,0.7193292852831603,1129,2871,1436,0.7694986072423399
credit,0.714963949486729,1534,2466,1313,0.7677075399847677
yeas,0.7820347120276286,3972,28,3704,0.7645788336933045
capitation,0.8961951164645721,154,93,316,0.7626582278481012
limitations,0.7551148055428998,353,3647,3423,0.7595676307332749
writ,0.7555819701224631,3759,241,3450,0.7582608695652174
general,0.6249752505698467,2547,1453,227,0.7577092511013216
organizing,0.7670823126644182,329,3671,3828,0.7552246603970741
republican,0.7190988969090983,513,3487,1899,0.7530279094260137
emolument,0.8332691016446684,1274,12,1604,0.7524937655860349
free,0.6538566949895466,829,3171,449,0.7505567928730512
present,0.6484209201351039,2419,1581,391,0.7493606138107417
conventions,0.7674506355850921,1095,2905,3814,0.7490823282642894
war,0.6321626707885085,1574,2426,294,0.7448979591836735
alliance,0.7406286145996291,1347,2653,2946,0.7423625254582484
s,0.5914498570190129,374,3626,23,0.7391304347826086
labor,0.7065340866880464,1077,2923,1422,0.7390998593530239
appropriations,0.7716133870566358,2337,1663,3651,0.7370583401807724
ballot,0.7564922292079365,1155,2845,3864,0.7362836438923396
engagements,0.764273951566686,3335,665,3766,0.7357939458311206
defense,0.6958240113648997,1018,2982,1149,0.7328111401218451
honor,0.6867621248133977,3152,848,840,0.7321428571428571
seat,0.7012978395599874,887,3113,1596,0.7286967418546366
members,0.6543983280574402,949,3051,587,0.7257240204429302
assembled,0.7342247176786851,2623,1377,3098,0.724661071659135
discharge,0.728255267993234,3126,874,2812,0.7240398293029872
support,0.6500024067023632,842,3158,470,0.723404255319149
who,0.5809792372003053,1023,2977,54,0.7222222222222222
up,0.5860120319144629,492,3508,60,0.7166666666666667
office,0.6444685336402048,1337,2663,441,0.7165532879818595
including,0.6485307980266323,129,3871,539,0.7161410018552876
arsenals,0.8335268099685152,455,438,1119,0.7158176943699732
owner,0.6983860944866899,1304,2696,1805,0.7157894736842105
list,0.6926526425217554,521,3479,1279,0.7154026583268178
statement,0.704170012247074,508,3492,2014,0.7149950347567031
counterfeiting,0.8302666515515006,728,302,1290,0.713953488372093
concerned,0.7002383818034921,1024,2976,1856,0.7133620689655172
corpus,0.771824335463465,1062,2314,3285,0.7132420091324201
congress,0.6353135796594088,2945,1055,408,0.7132352941176471
grant,0.6963135234284547,1842,2158,1787,0.710688304420817
nays,0.7570804639660098,3964,36,3677,0.7090019037258635
whole,0.632502411458889,1947,2053,393,0.7073791348600509
part,0.5993889385461987,1543,2457,187,0.7058823529411765
for,0.5894020763029625,1026,2974,17,0.7058823529411765
records,0.6974728188241652,595,3405,1875,0.7056
resolution,0.6958135321369092,2514,1486,1834,0.7039258451472192
directed,0.6912594808093353,2416,1584,1685,0.7032640949554896
subject,0.6548735871427936,2312,1688,650,0.703076923076923
being,0.5846194818328305,1767,2233,124,0.7016129032258065
recess,0.7577981731708574,1796,2204,3526,0.7010777084515031
effects,0.6846503314389047,978,3022,1159,0.6980155306298533
execution,0.6978278076874557,3362,638,2057,0.6976178901312591
grants,0.7291415597030567,1520,2480,3433,0.6970579667928926
writing,0.6761344010793481,1132,2868,1011,0.695351137487636
than,0.5776884239275824,918,3082,72,0.6944444444444444
offices,0.7060539547290747,1877,2123,2461,0.6924014628199918
warrants,0.7402213773942554,2841,1159,3829,0.690780882737007
arms,0.6719246319969779,1391,2609,937,0.6905016008537886
chief,0.6749443929616473,1318,2682,1014,0.6893491124260355
those,0.5859138862828284,1368,2632,103,0.6893203883495146
uniform,0.7196573887715271,1000,3000,3116,0.688382541720154
piracies,0.8491510587778448,425,5,539,0.6883116883116883
ex,0.7140614903582575,861,3139,2888,0.6873268698060941
union,0.6807495488729454,1373,2627,1210,0.6867768595041323
census,0.7345104042833535,518,3482,3780,0.6851851851851852
vice president,0.7088947835217896,620,3380,2735,0.6819012797074955
affecting,0.7332432430479693,1290,2710,3821,0.681496990316671
erection,0.7928610804311884,679,944,1996,0.6813627254509018
tax,0.6741931392838396,983,3017,1074,0.6778398510242085
forces,0.6824440689619596,497,3503,1510,0.6774834437086092
himself,0.6252861043037191,1495,2505,377,0.6763925729442971
therein,0.7049657886903681,3821,179,2674,0.6761406133133882
things,0.6201520387583773,1006,2994,295,0.6745762711864407
overt,0.7659489541962592,433,2062,2774,0.6744772891131939
reprisal,0.821110153586031,551,311,1078,0.6743970315398887
georgia,0.680603755583607,992,3008,1572,0.6743002544529262
money,0.6244478387740305,1330,2670,319,0.6739811912225705
public,0.6245122159991782,866,3134,325,0.6738461538461539
vested,0.7305652187275222,3210,790,3860,0.6738341968911917
natural born,0.8470778192905961,275,140,525,0.6723809523809524
appropriation,0.7400767095940666,2533,1467,3694,0.6702761234434218
convention,0.6872974848008381,2290,1710,1976,0.6700404858299596
herein,0.7233185786236634,3728,272,3567,0.6700308382394169
seizures,0.7788115697117125,388,1489,2236,0.6699463327370304
ability,0.6779462032062608,283,3717,1374,0.6695778748180495
following,0.6450819389157343,1579,2421,646,0.6687306501547987
act,0.6332065287936792,2247,1753,463,0.6673866090712743
dock,0.7300569889224847,642,3358,3830,0.6637075718015666
principal,0.6819285830749705,2163,1837,1877,0.6616941928609483
choice,0.6747788567787901,798,3202,1309,0.6615737203972498
adoption,0.715914260426964,1060,2940,3498,0.6606632361349343
tender,0.69573451750672,2258,1742,2635,0.6603415559772297
excepted,0.7361477045972389,3873,127,3715,0.6602960969044415
concurrence,0.7294483539240506,3735,265,3817,0.659942363112392
consequence,0.684411689614035,3178,822,1916,0.6591858037578288
numbers,0.6750006239467438,896,3104,1412,0.6586402266288952
suits,0.7121481743320639,1198,2802,3319,0.6583308225369087
presentment,0.8241223428879616,602,35,809,0.657601977750309
weights,0.7294665578215485,1088,2912,3806,0.6560693641618497
migration,0.7236153833495762,210,3790,3836,0.6551094890510949
coin,0.7253557031139879,1678,2322,3823,0.6544598482866858
commissions,0.7216171298960058,2511,1489,3797,0.6523571240452989
exercise,0.6738660917867441,1386,2614,1603,0.6519026824703681
direct,0.6741552625889001,1319,2681,1464,0.6516393442622951
expedient,0.7203532477729514,3751,249,3795,0.649802371541502
continuance,0.7213656097416239,3823,177,3818,0.6492928234677842
adjournment,0.7515358442694291,2938,53,3088,0.6492875647668394
belonging,0.6903166315300967,3228,772,2599,0.648326279338207
preference,0.7155891003326635,1397,2603,3568,0.6482623318385651
treasury,0.6788161073217628,3363,637,1921,0.6444560124934929
naturalization,0.7673244657035132,947,991,2302,0.6433536055603822
revenue,0.6832543110372995,1733,2267,2194,0.6431175934366454
common,0.6354460130440476,1595,2405,643,0.6423017107309487
voting,0.7111591363357062,543,3457,3524,0.6421679909194098
application,0.6784703548897968,1946,2054,1992,0.6420682730923695
exclusive,0.7066941973275774,1624,2376,3424,0.6407710280373832
limited,0.6718887973981477,647,3353,1578,0.6400506970849176
expiration,0.7311983049569072,3300,700,3616,0.6391039823008849
do,0.5759626144067892,636,3364,58,0.6379310344827587
person,0.6181536160473873,1973,2027,371,0.6361185983827493
other,0.5685623195971249,1210,2790,71,0.6338028169014085
vest,0.727549480627362,1453,2547,3678,0.6332245785753127
lands,0.6704824539667964,3132,868,1490,0.6328859060402685
speedy,0.7175274138825976,2987,1013,3827,0.6320877972302065
further,0.6320438195295559,1948,2052,589,0.629881154499151
whatsoever,0.7013884837705018,3275,725,3368,0.629750593824228
on,0.581919707160907,891,3109,27,0.6296296296296297
seats,0.6937848367566835,499,3501,3026,0.6288830138797092
confronted,0.7212011121639701,130,3870,3780,0.6277777777777778
yards,0.674400791314814,413,3587,1966,0.6271617497456765
section,0.6656355896700925,630,3370,1311,0.6270022883295194
now,0.5661417102489293,1062,2938,99,0.6262626262626263
capital,0.6677789609891497,766,3234,1637,0.6261453879047038
representation,0.687799773439905,1823,2177,2822,0.6236711552090716
sign,0.6662714723083635,542,3458,1467,0.6223585548738922
claims,0.6710584132457152,1157,2843,1823,0.6220515633571037
civil,0.6636568146225374,1379,2621,1289,0.6214119472459271
purpose,0.649965759341056,2349,1651,928,0.6196120689655172
discipline,0.6868286279057881,1148,2852,2901,0.6184074457083765
by,0.5773211224331761,1596,2404,34,0.6176470588235294
number,0.6114570184774708,1215,2785,333,0.6156156156156156
that,0.5881662139823162,1167,2833,13,0.6153846153846154
presence,0.6652582360252672,980,3020,1639,0.6150091519219036
account,0.6444427882570705,2483,1517,775,0.6103225806451613
departments,0.6941523744092455,1409,2591,3303,0.6091432031486528
regular,0.6650488230246722,959,3041,1769,0.6065573770491803
disciplining,0.8009788863941428,310,373,864,0.6064814814814815
vacancies,0.7372199849154725,1912,730,2879,0.6061132337617228
sitting,0.6607402849436558,471,3529,1555,0.6057877813504823
appellate,0.7630862813906352,344,1133,1836,0.6056644880174292
its,0.5647732227775568,739,3261,81,0.6049382716049383
valid,0.7026701890769688,1142,2858,3741,0.603314621758888
america,0.6213703143228809,1576,2424,463,0.6025917926565875
supreme,0.6685404188291633,1728,2272,1935,0.6015503875968993
duties,0.6664265330068895,3140,860,1894,0.6003167898627244
crime,0.6650643552433575,757,3243,1871,0.6002137894174239
progress,0.6642342224075954,1094,2906,1810,0.6
of,0.5557354624853263,1448,2552,5,0.6
in,0.566265481461059,1067,2933,5,0.6
both,0.5786071813830147,889,3111,184,0.5978260869565217
perfect,0.6569851545021127,1192,2808,1388,0.5972622478386167
trust,0.6580385215748105,1521,2479,1534,0.5971316818774446
mode,0.6718787592419574,2372,1628,2304,0.5967881944444444
existing,0.6725115878091619,690,3310,2427,0.5949732179645653
kind,0.6184880367399193,1165,2835,455,0.5934065934065934
cause,0.6365184955884212,2089,1911,739,0.5926928281461434
property,0.6476871291684403,2067,1933,1017,0.591937069813176
officers,0.6386151623834109,2779,1221,822,0.5900243309002433
so,0.5708918090248496,1315,2685,56,0.5892857142857143
provide,0.6418932965462677,446,3554,844,0.5888625592417062
infamous,0.7079417477505112,1874,2126,3747,0.5876701361088871
should,0.566339593468613,1741,2259,104,0.5865384615384616
thing,0.6067441649233278,1297,2703,328,0.5853658536585366
acceptance,0.6857294424520671,1176,2824,3335,0.5832083958020989
affect,0.6700098247089402,702,3298,2427,0.5830243098475484
new hampshire,0.6840940435678581,2523,1477,3266,0.5820575627679119
foregoing,0.7024185167312653,3589,411,3819,0.5815658549358471
president,0.6072703804861487,1045,2955,378,0.5793650793650794
bills,0.6580460250272923,2266,1734,1869,0.5789192081326913
dollars,0.6437806784283365,2310,1690,1030,0.5786407766990291
life,0.5684343837641076,826,3174,159,0.5786163522012578
their,0.5687068081939471,1467,2533,45,0.5777777777777777
governing,0.6978517847074506,943,3057,3866,0.5775995861355406
authors,0.6701462910321873,717,3283,2629,0.5766451122099657
house,0.5753332407499778,1558,2442,174,0.5747126436781609
themselves,0.6139590113551368,1703,2297,493,0.5740365111561866
guarantee,0.6905291836607451,539,3461,3690,0.573170731707317
committed,0.6558946074449581,2183,1817,1836,0.5729847494553377
bail,0.6964326509192241,1982,2018,3828,0.5726227795193313
requisite,0.6944631645606715,3179,821,3833,0.5713540307852857
claiming,0.6931289597185935,899,3101,3808,0.570640756302521
admit,0.6654187309103181,1962,2038,2445,0.5705521472392638
assemble,0.700235472184812,1859,2141,3801,0.5695869508024204
regulation,0.672612483839338,1088,2912,2942,0.5690006798096533
foreign,0.6360593194875013,1489,2511,909,0.5687568756875687
absence,0.665833472585513,1297,2703,2548,0.564756671899529
facto,0.7209867763375505,588,2167,2950,0.5627118644067797
during,0.5858974480336444,614,3386,251,0.5617529880478087
vessels,0.6532489242125508,3366,634,1788,0.5615212527964206
meeting,0.6349374327423731,1509,2491,960,0.5604166666666667
alone,0.6352589488987828,961,3039,901,0.5593784683684795
together,0.6103025945335186,933,3067,451,0.5587583148558758
all,0.5617743345671642,1388,2612,52,0.5576923076923077
affirm,0.7045768965842094,2534,1466,3548,0.5555242390078917
commerce,0.6533021338068651,2718,1282,1883,0.5544344131704726
given,0.6036044106151522,1668,2332,386,0.5544041450777202
district,0.6415807324858457,956,3044,1172,0.552901023890785
returns,0.6616395356749165,1445,2555,2527,0.5524337158686189
order,0.6017363396147026,1962,2038,373,0.5522788203753352
good,0.5596357095220867,1358,2642,116,0.5517241379310345
compulsory,0.7418634690838402,230,1197,1767,0.5472552348613469
establishment,0.6608642168562928,2105,1895,2606,0.5471987720644667
acts,0.6520347856329364,2229,1771,1921,0.5434669442998439
peace,0.6282689495595879,2619,1381,783,0.5427841634738186
felony,0.6984677415986261,1734,2266,3664,0.5425764192139738
others,0.5983249842925769,1352,2648,356,0.5421348314606742
solemnly,0.7026617219528841,2796,1146,3485,0.5411764705882353
