,terms,Popular_count,Founders_count,Legal_count,Total_count,Popular,Founders,Legal
0,a,1475123,1149734,435899,3060756,0.36651168427845937,0.338432486236826,0.2950558294847146
1,ability,2273,2232,907,5412,0.30765054072981407,0.3579047954150012,0.3344446638551848
2,abridging,99,74,55,228,0.2941989633367235,0.2605270028393272,0.44527403382394926
3,absence,3451,6750,1384,11585,0.22676627309899225,0.5254753596527209,0.24775836724828687
4,absent,2014,4282,1052,7348,0.2023520200371999,0.5096943518804123,0.28795362808238784
5,absolutely,5154,5668,991,11813,0.35376999035781814,0.46091569532707083,0.1853143143151112
6,accept,3633,10518,1573,15724,0.1782697553546757,0.6114493915567437,0.21028085308858058
7,acceptance,1584,3246,767,5597,0.21066205709468847,0.5114400560502903,0.27789788685502126
8,according,22895,13896,15037,51828,0.28503487944416894,0.20495675908905725,0.5100083614667739
9,accordingly,7930,8836,4575,21341,0.25695069252473535,0.3391933994332919,0.4038559080419727
10,account,29810,39210,15050,84070,0.25421298300798,0.39613906587004105,0.34964795112197894
11,accusation,1218,468,148,1834,0.5598331885217589,0.2548427518042706,0.1853240596739706
12,accused,2005,594,410,3009,0.5240877207953739,0.18394633216022924,0.2919659470443969
13,act,38274,36752,32994,108020,0.22291061832278009,0.2535846503872094,0.5235047312900105
14,acts,11442,8712,5164,25318,0.31932641549900226,0.2880486534562184,0.3926249310447794
15,actual,2663,3820,1504,7987,0.23595590866301916,0.4009942394132676,0.3630498519237131
16,actually,4428,4426,1125,9979,0.3476642135452939,0.4116981038574902,0.24063768259721582
17,adding,1763,1808,594,4165,0.3191979177540594,0.387812000255244,0.2929900819906966
18,adhering,431,254,144,829,0.3833765525027537,0.26766838231406404,0.3489550651831823
19,adjourn,559,914,995,2468,0.1284309104823092,0.24878204265042858,0.6227870468672622
20,adjournment,973,1202,1199,3374,0.17180202058718175,0.2514403513042427,0.5767576281085756
21,admiralty,1790,2216,1935,5941,0.18478559339325631,0.2710191095569859,0.5441952970497578
22,admit,6035,8474,2462,16971,0.26490690787074267,0.44067615217088174,0.29441693995837565
23,admitted,6051,4666,3601,14318,0.282899970861352,0.2584434705025361,0.45865655863611193
24,adoption,1200,1796,891,3887,0.20850974995550972,0.3697145426784949,0.4217757073659954
25,advice,7807,10046,3164,21017,0.275588769045081,0.4201318336072951,0.30427939734762377
26,affect,2714,3092,646,6452,0.3335356149005272,0.4501807668725159,0.2162836182269569
27,affecting,2108,778,167,3053,0.6049348294473587,0.2645042535955474,0.13056091695709396
28,affirm,1609,622,647,2878,0.3916240353383275,0.17935717661887732,0.4290187880427952
29,affirmation,952,218,2460,3630,0.12032195748204531,0.032642206960616225,0.8470358355573384
30,after,88614,60520,33002,182136,0.35414253374634275,0.2865429638627006,0.35931450239095664
31,against,69529,49720,19878,139127,0.3807986610906649,0.32260836902492207,0.29659296988441297
32,age,22404,5420,3729,31553,0.5746947071328762,0.16471228799936113,0.26059300486776266
33,agree,5111,7088,5434,17633,0.18052250831258143,0.2965953017733074,0.5228821899141113
34,agreement,3318,3514,1957,8789,0.2589637966004891,0.3249222927311689,0.41611391066834197
35,aid,5639,10314,16271,32224,0.09068007303205067,0.19649521263198486,0.7128247143359644
36,all,357345,202846,86157,646348,0.4293051604626058,0.28870873731893604,0.2819861022184581
37,alliance,2728,4756,843,8327,0.25593095008148686,0.5286099930245276,0.2154590568939855
38,alone,15562,8850,2048,26460,0.4920608182711488,0.33152151949578,0.17641766223307115
39,also,61156,54334,20877,136367,0.33528105988442625,0.3529041026338066,0.3118148374817671
40,alter,2177,1628,2158,5963,0.21803114029757298,0.19316550674242472,0.5888033529600022
41,ambassadors,913,1024,304,2241,0.3090362520428639,0.41063284806342437,0.2803308998937118
42,amendment,1479,1788,6901,10168,0.06603316698112247,0.09457504296663838,0.8393917900522392
43,amendments,1332,2308,5193,8833,0.07313158826200093,0.1501245315361826,0.7767438802018165
44,america,31310,50110,7425,88845,0.28231538085905694,0.5352922489616289,0.18239237017931412
45,among,49427,28884,5404,83715,0.5024670040681328,0.34786898716350056,0.14966400876836644
46,an,259642,231836,109548,601026,0.31178993501260144,0.32982464283055063,0.3583854221568478
47,and,2974212,1596026,989780,5560018,0.3933344521054429,0.25006050754911713,0.35660504034544005
48,another,44491,31698,9692,85881,0.41025060814246866,0.3462772878997461,0.24347210395778532
49,answer,22747,35894,5782,64423,0.2807463413314423,0.5248399871719962,0.19441367149656152
50,any,203149,201598,159242,563989,0.23195486892222114,0.2727031180526654,0.4953420130251134
51,appellate,74,84,183,341,0.11010797076957858,0.14807488543490654,0.7418171437955149
52,application,6273,12818,4585,23676,0.1847731187801936,0.44729994945566165,0.36792693176414487
53,appoint,3041,5778,7633,16452,0.09911650320398724,0.2231116095761476,0.6777718872198653
54,appointed,15759,19198,24505,59462,0.14971104075358102,0.21607088032940702,0.634218078917012
55,appointment,3954,14876,4322,23152,0.11855220041116682,0.5284138643601132,0.35303393522872006
56,appointments,659,3606,802,5067,0.09260818376266568,0.600350331446936,0.30704148479039844
57,apportioned,104,244,574,922,0.053147096088514,0.14772401645834607,0.79912888745314
58,appropriation,473,1316,1689,3478,0.07130503934299208,0.23503365398321255,0.6936613066737954
59,appropriations,316,1026,1702,3044,0.05122950678460136,0.19705866347932338,0.7517118297360752
60,approve,2413,4416,932,7761,0.23694528532630937,0.5137299607465335,0.24932475392715706
61,approved,3168,4296,3127,10591,0.1888354566469161,0.30337355633740576,0.5077909870156783
62,are,396850,327170,83298,807318,0.39238272207863073,0.38324107095701765,0.22437620696435173
63,arising,3534,3162,3631,10327,0.20579895182287708,0.21814916699919962,0.5760518811779233
64,armies,4095,3624,922,8641,0.3756796096212926,0.3938827731460498,0.23043761723265763
65,arming,314,770,468,1552,0.1255389062008432,0.3647157324811948,0.509745361317962
66,arms,17405,15020,4780,37205,0.36093681667276756,0.3690134270366434,0.270049756290589
67,army,17906,53574,11623,83103,0.1584028265024558,0.5614789770848785,0.28011819641266583
68,arrest,992,1904,922,3818,0.17223627108845693,0.391647146274982,0.43611658263656117
69,arsenals,73,324,201,598,0.0726774709091777,0.3821527913300895,0.5451697377607329
70,article,9960,15224,7564,32748,0.2049258895400469,0.3710917897482423,0.4239823207117108
71,articles,11195,19496,8497,39188,0.19489615090490053,0.4021052657761136,0.40299858331898586
72,arts,6230,2550,548,9328,0.5798606287511769,0.2811841497185862,0.13895522153023707
73,as,609424,648608,216063,1474095,0.30990802210749757,0.39076049042827316,0.29933148746422933
74,ascertained,1825,2700,1612,6137,0.19383242476707938,0.3397366531350821,0.4664309220978385
75,assemble,1251,1570,490,3311,0.2813811788349101,0.41836222835775466,0.30025659280733524
76,assembled,4545,2924,4594,12063,0.22144093903676465,0.16877824833135957,0.6097808126318758
77,assistance,8720,9918,1146,19784,0.36961508323227943,0.49804935806005357,0.13233555870766697
78,at,386469,392900,114940,894309,0.3317106706603653,0.39952309359419613,0.2687662357454385
79,attainder,184,52,276,512,0.18445768753573225,0.06175858834168915,0.7537837241225785
80,attained,1604,428,219,2251,0.592387668778144,0.18726667296257,0.220345658259286
81,attainted,160,88,307,555,0.14537225985389138,0.09472384343187429,0.7599038967142344
82,attendance,3513,2106,1945,7564,0.31069725647694874,0.22066462448898644,0.46863811903406494
83,authority,23906,14806,23553,62265,0.22635484132619021,0.16608702182910412,0.6075581368447056
84,authorized,2656,5962,9911,18529,0.07233102823988512,0.19235506217008078,0.7353139095900342
85,authors,3369,972,275,4616,0.639311059484126,0.2185206840792904,0.14216825643658354
86,bail,955,524,2177,3656,0.12722060826058074,0.08269903904916663,0.7900803526902526
87,ballot,799,368,976,2143,0.20519187193611935,0.11196345019140634,0.6828446778724742
88,bankruptcies,81,122,41,244,0.2401900839322803,0.4285928935537696,0.3312170225139501
89,be,751032,925672,497499,2174203,0.23447468157374354,0.342381050603309,0.4231442678229474
90,bear,12795,5790,1689,20274,0.5275004882023907,0.2827979256114548,0.1897015861861545
91,become,19485,14884,5315,39684,0.3776299798103788,0.3417439199406239,0.28062610024899715
92,been,181443,232108,57662,471213,0.29574311619972715,0.44820801266216137,0.2560488711381115
93,before,97389,85530,42498,225417,0.30966663126749583,0.32219445007150604,0.3681389186609983
94,behavior,5529,2654,981,9164,0.4873167220317257,0.2771282012423043,0.23555507672596987
95,being,115376,93340,38684,247400,0.3482046786883233,0.33373518872149344,0.3180601325901832
96,belonging,9870,7770,5556,23196,0.28849860160022195,0.2690683766853031,0.44243302171447485
97,best,31537,41328,13010,85875,0.27200554422925394,0.42229588259072653,0.3056985731800196
98,between,42403,43574,14206,100183,0.3194737296554949,0.3889386273568401,0.29158764298766504
99,bill,8986,15712,28331,53029,0.08575809347211143,0.1776459266379573,0.7365959798899312
100,bills,5004,11886,10967,27857,0.10219915853332831,0.2875946646930835,0.6102061767735881
101,blessings,6522,2022,341,8885,0.6623676916626982,0.24328457688707383,0.094347731450228
102,blood,21281,2818,682,24781,0.803738267087173,0.12608943053642024,0.07017230237640694
103,borrow,965,1674,801,3440,0.18809443014987662,0.3865619966465129,0.4253435732036104
104,both,46068,36144,7482,89694,0.42159074742150043,0.39187089284474497,0.18653835973375457
105,bound,12894,8742,4127,25763,0.3738031469470684,0.3002487234505985,0.32594812960233305
106,branch,5303,4414,2535,12252,0.30409712693202534,0.29987350703895915,0.3960293660290155
107,breach,2282,2398,1802,6482,0.22746787185315445,0.283183981282493,0.48934814686435263
108,bribery,382,190,166,738,0.36060384760523495,0.2124886192090251,0.42690753318574
109,buildings,3241,2750,1751,7742,0.2875963626065231,0.2891026894667505,0.4233009479267263
110,business,22272,43558,8494,74324,0.22956951707293924,0.5319098262461337,0.238520656680927
111,but,415936,317428,58723,792087,0.4369171012838751,0.39503251667277617,0.16805038204334863
112,by,607861,494936,272671,1375468,0.31380519152595493,0.3027052603839422,0.383489548090103
113,call,18550,14088,3795,36433,0.406984602775643,0.36618326123432315,0.22683213599003374
114,called,38671,17528,10669,66868,0.43694784705730505,0.2346343788781476,0.32841777406454736
115,calling,4277,2958,1349,8584,0.3733248767569028,0.3058869364215129,0.3207881868215844
116,cannot,44657,51112,9743,105512,0.3389437968571429,0.45959585259760893,0.2014603505452482
117,capital,4848,4732,1649,11229,0.32435694112202523,0.3750769717356555,0.3005660871423191
118,capitation,42,14,80,136,0.15188117536992737,0.059978800300605414,0.7881400243294672
119,captures,435,982,585,2002,0.13627295314533955,0.3644575727068745,0.499269474147786
120,care,21502,17620,4457,43579,0.3943942735430032,0.38288885668556016,0.2227168697714366
121,carrying,5171,5514,2984,13669,0.2607281371136702,0.3293784683662415,0.40989339452008833
122,case,31604,44408,27420,103432,0.19887244912232394,0.33106164097746726,0.4700659099002088
123,cases,13220,11412,11100,35732,0.23201123295803708,0.23727632098943707,0.5307124460525259
124,cause,32544,22596,12913,68053,0.34440614354993937,0.2833000197066328,0.37229383674342786
125,census,232,336,607,1175,0.10158819446600766,0.1743049073034298,0.7241068982305626
126,certain,27533,24080,14345,65958,0.2893901914696299,0.2998484685354967,0.4107613399948735
127,certificates,4079,5294,5275,14648,0.16499669772331427,0.25370005651374505,0.5813032457629407
128,certify,670,918,1472,3060,0.11616262275569637,0.18855991236498185,0.6952774648793217
129,cession,290,1198,812,2300,0.07395236043174376,0.3619311316358871,0.5641165079323692
130,charged,4046,6190,3742,13978,0.18754207112367097,0.33992144048322775,0.47253648839310125
131,chief,13345,11362,6233,30940,0.30477444501014034,0.30741838449390196,0.3878071704959576
132,choice,7756,5332,2059,15147,0.3940596253970521,0.3209440735567219,0.28499630104622586
133,choose,6613,5580,2130,14323,0.34756717684094285,0.3474477571842055,0.3049850659748517
134,choosing,1507,764,473,2744,0.4072169610231065,0.2445800586861397,0.34820298029075375
135,chosen,7775,4142,5364,17281,0.28484677831621413,0.1797778112836262,0.5353754104001598
136,citizen,5000,5092,2757,12849,0.26963558769988233,0.3253199392090833,0.40504447309103425
137,citizens,12666,12512,7391,32569,0.2659545843267161,0.31125032448213535,0.4227950911911486
138,civil,13983,6634,4010,24627,0.4267408434958142,0.2398581064884998,0.33340105001568593
139,claim,7523,9056,4527,21106,0.24597167268567346,0.35078864478569277,0.40323968252863385
140,claiming,535,600,989,2124,0.1357803483849097,0.18040537263695178,0.6838142789781385
141,claims,3647,5298,4859,13804,0.15746211289008455,0.2709987860269557,0.5715391010829597
142,class,3686,3260,1392,8338,0.3250314703110639,0.3405671552308765,0.33440137445805956
143,classes,1565,1150,539,3254,0.3560186958001566,0.30993554302703213,0.3340457611728112
144,clauses,402,430,632,1464,0.15266586845520805,0.19346367582888324,0.6538704557159087
145,clear,10705,7450,1939,20094,0.4314163818130039,0.35569790999322815,0.21288570819376793
146,coin,774,1258,1371,3403,0.129012393766211,0.24841979207255852,0.6225678141612306
147,collect,1930,4244,935,7109,0.20304702899556434,0.5289684694226662,0.26798450158176945
148,comfort,6862,2214,302,9378,0.665715144434732,0.2544663847650379,0.07981847080023
149,commander,5135,8002,4921,18058,0.18325205885744197,0.3383156139884195,0.4784323271541386
150,commerce,10657,16046,6095,32798,0.23031334624276295,0.4108336494847266,0.35885300427251043
151,commission,5939,13180,3036,22155,0.1991306925416453,0.523546630914338,0.2773226765440167
152,commissions,1435,5152,1288,7875,0.1298924935459154,0.5524883024786428,0.3176192039754418
153,committed,9493,6120,8865,24478,0.23213329873929592,0.17729662330674467,0.5905700779539594
154,common,29072,16446,9477,54995,0.3908877451251456,0.2619705735569232,0.34714168131793127
155,compact,1465,1310,660,3435,0.3042553376245637,0.32231977924782723,0.37342488312760913
156,compel,1361,1370,913,3644,0.24874932143927403,0.2966466352992055,0.4546040432615205
157,compelled,3038,1804,903,5745,0.39788895196116253,0.2799147114034413,0.3221963366353961
158,compensation,1988,5170,3674,10832,0.10969995168502915,0.3379836404007882,0.5523164079141827
159,composed,4430,2466,621,7517,0.4898643232758188,0.323057804388496,0.18707787233568515
160,compulsory,99,86,72,257,0.24934698222522111,0.25661524487464293,0.494037772900136
161,concerned,5664,4766,1813,12243,0.3485631470934881,0.3474780226694473,0.3039588302370646
162,concerning,10683,9052,3027,22762,0.3602598239265196,0.3616448037630444,0.27809537231043596
163,concur,1211,2000,954,4165,0.1959724033808951,0.38343861860989603,0.420588978009209
164,concurrence,1649,2118,2821,6588,0.1392318917391812,0.2118649447442646,0.6489031635165542
165,confederation,1138,2870,2678,6686,0.09616456557162058,0.2873226006653275,0.616512833763052
166,confession,2330,404,297,3031,0.6440466488593668,0.13229939219802153,0.2236539589426118
167,confronted,105,50,43,198,0.37315841062650007,0.21051789557522496,0.4163236937982749
168,congress,20066,83984,56639,160689,0.07326931334715991,0.3633063168819252,0.5634243697709149
169,connecticut,4496,7242,5499,17237,0.16024643390003504,0.3057987258710614,0.5339548402289037
170,consent,8340,6678,5042,20060,0.27811505159590083,0.2638274243843485,0.4580575240197506
171,consequence,16069,20172,4194,40435,0.3126693388428266,0.46500806375879655,0.22232259739837687
172,consideration,12301,20874,13200,46375,0.16852558559248512,0.3388021718061744,0.49267224260134057
173,consist,2929,2586,1569,7084,0.285278900538338,0.2983966073007134,0.4163244921609485
174,constitute,1824,1328,544,3696,0.37382120039641237,0.32244247708155943,0.3037363225220282
175,constitution,22669,19258,12754,54681,0.2825490029806867,0.2843725544254494,0.43307844259386397
176,construed,835,876,1054,2765,0.1760025086554225,0.21875176652276837,0.605245724821809
177,consuls,677,1958,1475,4110,0.09650671270272883,0.3306713903283127,0.5728218969689584
178,continuance,3513,4226,1955,9694,0.25372548670854106,0.36160174471302775,0.38467276857843113
179,contracted,2273,2308,791,5372,0.31735748944728615,0.38176859591622203,0.3008739146364919
180,contracts,1093,2118,946,4157,0.17687676459227383,0.40606135497719603,0.4170618804305302
181,contrary,15046,10522,7965,33533,0.30574561258784283,0.25331012762967103,0.4409442597824861
182,control,2541,1808,1007,5356,0.34215933176905905,0.28842787496235117,0.3694127932685897
183,controversies,611,302,421,1334,0.28878985846191874,0.16910745384934914,0.542102687688732
184,controversy,2417,1124,828,4369,0.40254058642932355,0.22177593344394772,0.3756834801267286
185,convene,260,448,241,949,0.1796428907592065,0.3667159343270418,0.4536411749137517
186,convened,919,690,625,2234,0.26721656719881604,0.23769061806896283,0.49509281473222105
187,convention,7008,11594,5128,23730,0.2018784589731926,0.39568015018618335,0.4024413908406242
188,conventions,487,620,723,1830,0.1526066206480344,0.23017130694527346,0.6172220724066922
189,convicted,1583,598,721,2902,0.37197179310706596,0.16647359470420436,0.4615546121887298
190,conviction,4283,2336,1000,7619,0.4381663799119135,0.28312544086745906,0.27870817922062735
191,corpus,395,258,496,1149,0.19250244842835462,0.14896146953320571,0.6585360820384397
192,corruption,3755,1130,507,5392,0.5799260191346933,0.20675507407627938,0.21331890678902718
193,counsel,3592,1268,906,5766,0.4749777075776889,0.19864207021398092,0.32638022220833024
194,counted,818,820,218,1856,0.3432112764043115,0.407602817352601,0.24918590624308745
195,counterfeiting,253,122,390,765,0.1732850672507568,0.09899551716615228,0.727719415583091
196,court,27244,35272,63895,126411,0.11206815933394124,0.17189234373681747,0.7160394969292413
197,courts,6724,7334,12733,26791,0.1342074525216674,0.17342228882777694,0.6923702586505556
198,created,3444,1522,783,5749,0.4666485331619974,0.24431857954368294,0.2890328872943197
199,credit,9098,13914,7671,30683,0.1957381734331986,0.35464731639287084,0.44961451017393056
200,crime,5359,1582,1246,8187,0.5042468219385885,0.17635223655642512,0.31940094150498644
201,crimes,4671,1350,1566,7587,0.44330932468382117,0.15179093905417065,0.40489973626200815
202,criminal,3689,1344,1704,6737,0.3717434948932359,0.16045345428555896,0.4678030508212052
203,cruel,6222,1678,294,8194,0.6904964171088583,0.2206167381618395,0.08888684472930215
204,current,2697,3202,3061,8960,0.18186571270383325,0.255803386741373,0.5623309005547937
205,danger,14646,9920,2897,27463,0.42711200188159854,0.34272792984868516,0.23016006826971633
206,day,92445,65690,38589,196724,0.3356777260612905,0.28258782037825264,0.381734453560457
207,days,34965,37650,9518,82133,0.33142256450678287,0.4227937917321831,0.24578364376103393
208,death,38488,7916,4175,50579,0.6496930597015551,0.15830832331063485,0.19199861698780993
209,debate,2059,1614,2672,6345,0.18301362195422805,0.16995959201603947,0.6470267860297325
210,debts,5526,7962,8724,22212,0.1426958316584091,0.2435777753801485,0.6137263929614425
211,december,7554,10682,6144,24380,0.20445278184737128,0.34251823488646443,0.4530289832661643
212,declare,6764,4376,2382,13522,0.36685770287487607,0.28118130150220627,0.35196099562291766
213,declaring,2360,1966,1381,5707,0.27924211066127713,0.27559256860281056,0.44516532073591236
214,deem,1014,1832,1032,3878,0.16911539069816556,0.3619809601609897,0.4689036491408448
215,defend,4594,2780,1333,8707,0.39881794055930825,0.28591936567270687,0.315262693767985
216,defense,9397,8682,4507,22586,0.2940122657564852,0.3218185573375042,0.38416917690601077
217,define,360,266,239,865,0.2714423504821848,0.2376138894517187,0.4909437600660964
218,delaware,6261,5392,6948,18601,0.1982734399876664,0.2022953040000189,0.5994312560123148
219,delay,3875,12710,2386,18971,0.15236107100661797,0.5920562098342105,0.2555827191591716
220,delegated,741,642,545,1928,0.2481293497412297,0.2546889116555839,0.49718173860318654
221,delivered,10569,11474,6716,28759,0.24892239369391714,0.3201547844061011,0.43092282189998177
222,demand,5489,8166,4293,17948,0.20436404793716093,0.3601933755218693,0.43544257654096985
223,deny,5247,1508,520,7275,0.6209317885326304,0.21142154952410783,0.16764666194326172
224,department,2869,19848,7445,30162,0.06147960887679551,0.5038861008911256,0.4346342902320789
225,departments,1377,3674,1745,6796,0.1313480098065765,0.4151870398874666,0.453464950305957
226,deprived,3719,2428,699,6846,0.4375397937140857,0.33841931481106285,0.22404089147485157
227,describing,780,282,242,1304,0.43983881173307576,0.18839229420725298,0.37176889405967134
228,desire,15355,20240,2542,38137,0.3319359183485758,0.5183582522044146,0.14970582944700958
229,determine,5332,7040,3623,15995,0.22648265296677794,0.35426850293284096,0.4192488441003811
230,determined,11768,11470,3333,26571,0.3417265626341089,0.3945977243704958,0.26367571299539533
231,devolve,123,210,88,421,0.20113441949482005,0.4068325190248302,0.3920330614803497
232,different,26216,21868,5570,53654,0.38955151521820464,0.38496621302500206,0.22548227175679328
233,diminished,1341,1114,308,2763,0.3831573197349094,0.37709312940022915,0.23974955086486138
234,direct,7833,12788,3930,24551,0.2325038143327595,0.4496966612833886,0.3177995243838519
235,directed,12482,15600,7957,36039,0.23711533170523533,0.35108731322964165,0.41179735506512294
236,disability,94,152,551,797,0.05295238764566329,0.10144166336265177,0.8456059489916848
237,disagreement,243,266,348,857,0.16133318142381248,0.20922527198724294,0.6294415465889446
238,disapproved,351,464,180,995,0.2523205641907735,0.39516510858283094,0.35251432722639553
239,discharge,6406,7860,5662,19928,0.2056962560796731,0.2990040555055602,0.4952996884147666
240,discharged,3563,3738,3484,10785,0.20379772773922722,0.25330157620370447,0.5429006960570684
241,discipline,3737,2478,568,6783,0.45461469702411794,0.35713857051274883,0.18824673246313323
242,disciplining,68,184,126,378,0.10806464731689783,0.34642372784322273,0.5455116248398795
243,discoveries,1761,706,81,2548,0.6248932515054326,0.29680161496828733,0.07830513352628013
244,disorderly,736,322,332,1390,0.3640041795198482,0.18866854825632692,0.44732727222382496
245,disparage,47,38,19,104,0.32688501101819406,0.31310919790715125,0.3600057910746547
246,dispose,2542,2584,1105,6231,0.2951116238236961,0.3554007655456476,0.3494876106306562
247,disqualification,98,66,143,307,0.17321535005911978,0.1382035872241608,0.6885810627167195
248,district,4803,10044,7049,21896,0.1337656867451266,0.33140108122291473,0.5348332320319588
249,divided,5693,3704,2634,12031,0.32989386271854415,0.254284044442004,0.4158220928394519
250,do,108467,119830,25112,253409,0.3401872280511325,0.445247013739999,0.21456575820886856
251,dock,718,394,140,1252,0.4584390125186894,0.2980357941424427,0.2435251933388679
252,dollars,12327,19612,22998,54937,0.12550947183387987,0.23656803943207164,0.6379224887340484
253,domestic,4421,4620,1575,10616,0.31166267439507456,0.3858525136081693,0.3024848119967561
254,domestic_violence,33,12,36,81,0.22712838080704664,0.0978484140897069,0.6750232051032465
255,drawn,8461,11360,4540,24361,0.24676394089795303,0.39251242945668646,0.36072362964536053
256,due,14475,21876,17101,53452,0.16641649740603973,0.29796194426893063,0.5356215583250297
257,during,20725,19160,9782,49667,0.29576071956616995,0.3239340044507511,0.3803052759830789
258,duties,11307,13652,11838,36797,0.18929767600626435,0.27077542720880754,0.539926896784928
259,duty,25251,28578,15761,69590,0.24744735840662183,0.3317807251247327,0.4207719164686454
260,each,45473,31682,28624,105779,0.28246153729494505,0.23314890557889636,0.48438955712615855
261,effect,17664,19168,5248,42080,0.32310265642768743,0.41537786844046753,0.2615194751318452
262,effects,12955,6150,1517,20622,0.5315129846105046,0.29892804175587556,0.16955897363361996
263,eight,11064,7512,7719,26295,0.26990198058112724,0.21710236962718812,0.5129956497916845
264,either,31042,29292,12652,72986,0.30976048026075487,0.34629037440277255,0.3439491453364725
265,elected,3121,2480,2039,7640,0.26872745214712473,0.25297932342998897,0.4782932244228863
266,election,6927,5946,2742,15615,0.32306612652110156,0.3285384636699667,0.3483954098089319
267,elections,2123,1940,1092,5155,0.28703482405394193,0.31074303695383854,0.4022221389922195
268,elector,654,436,65,1155,0.4853006546880508,0.3832963628625043,0.13140298244944495
269,electors,1923,1310,841,4074,0.333498822821203,0.2691543460456436,0.39734683113315333
270,eligible,1054,2308,574,3936,0.19693235309987459,0.5108899316240815,0.29217771527604386
271,emit,183,128,168,479,0.2309642694285523,0.19138978694082126,0.5776459436306263
272,emolument,644,704,231,1579,0.3055955590654123,0.39577550398744205,0.29862893694714576
273,emoluments,464,1396,691,2551,0.11598914101749226,0.41342796524265907,0.47058289373984863
274,employed,10815,12344,5042,28201,0.27606749008790754,0.37330150098845843,0.35063100892363397
275,encreased,953,686,44,1683,0.5054129105102517,0.43101524030898064,0.0635718491807677
276,end,30014,16994,6608,53616,0.440414514851641,0.2954258130747136,0.2641596720736453
277,enemies,13409,8342,1860,23611,0.47282779222522076,0.34849124398995157,0.17868096378482767
278,engage,3849,5350,767,9966,0.3135182042842863,0.5162781129538707,0.170203682761843
279,engagements,1786,3244,816,5846,0.2274500267748649,0.48944113115663074,0.28310884206850434
280,enjoy,9145,4852,1796,15793,0.46219225285435805,0.2905191896638683,0.24728855748177364
281,enter,10833,7824,4634,23291,0.33101359534414404,0.283231146355652,0.3857552583002041
282,entered,10648,5472,6157,22277,0.31405915780640176,0.19120735243569129,0.49473348975790693
283,entitled,4421,5144,13272,22837,0.09472404181618564,0.13057371060267395,0.7747022475811404
284,enumeration,497,482,722,1701,0.16375639165477893,0.1881498990887997,0.6480937092564214
285,equal,14991,14248,5643,34882,0.3173086212169662,0.35728950078446603,0.3254018779985678
286,equally,10503,8228,2603,21334,0.3841304093873677,0.35651243850236597,0.25935715211026616
287,equity,2082,1514,1942,5538,0.22713634805039248,0.19568019337923848,0.5771834585703691
288,erected,4905,2072,901,7878,0.4997782820029501,0.25011699326396436,0.2501047247330856
289,erection,273,320,227,820,0.21487072906889235,0.2983868424687581,0.4867424284623495
290,escaping,588,234,119,941,0.4943591714270143,0.23307527594611357,0.27256555262687204
291,establish,4703,5430,2479,12612,0.26288989140668084,0.35959514364838707,0.37751496494493203
292,established,10665,9124,3589,23378,0.34125851163421395,0.345878039939644,0.3128634484261421
293,establishment,5151,7928,3317,16396,0.21844757198183265,0.398322091457523,0.38323033656064437
294,ever,49802,37916,5021,92739,0.4594254694900317,0.41438676728353024,0.12618776322643804
295,every,124711,95228,43708,263647,0.3497183591172121,0.31636862989607023,0.33391301098671766
296,ex,991,858,2380,4229,0.11670660197121223,0.11970826538353574,0.7635851326452521
297,exceed,2363,2974,2505,7842,0.18590514250854434,0.2771939364886719,0.5369009210027837
298,exceeding,3813,2874,6153,12840,0.1590032289014185,0.14198451499773257,0.6990122561008488
299,except,12837,15374,7489,35700,0.24948827420535613,0.35398801185008416,0.39652371394455965
300,excepted,1990,1886,1661,5537,0.22744207266408883,0.25537271661162103,0.5171852107242901
301,excepting,1629,1906,1242,4777,0.22405047010342924,0.31057232376863736,0.4653772061279335
302,exceptions,905,1040,685,2630,0.22606525715309633,0.30777522896960074,0.4661595138773028
303,excessive,2040,856,223,3119,0.5571269432707595,0.27695731437664833,0.1659157423525922
304,excises,166,236,279,681,0.13768165507211166,0.2318969694071942,0.6304213755206942
